dm_desc	frequency
Acetyl-CoA carboxylase, BC-C subdomain	4
Regulator of G-protein signaling 16, RGS16	4
ATP12 ATPase	4
ATP(GTP)-binding protein PAB0955	4
Response regulator PleD, C-terminal domain	4
ATP synthase subunit b, mitochondrial	4
RNase P protein	4
AP180 (Lap)	4
Carnitine acetyltransferase, C-terminal domain	4
Carnitine acetyltransferase, N-terminal domain	4
AF1676, Sir2 homolog (Sir2-AF1?)	4
RNase U2	4
CasA/Cse1	4
20alpha-hydroxysteroid dehydrogenase	4
ADP compounds hydrolase NudE	4
ACP phosphodiesterase AcpD	4
RPRD1B	4
pak1 autoregulatory domain	4
Rab geranylgeranyltransferase alpha-subunit, C-terminal domain	4
Rab geranylgeranyltransferase alpha-subunit, N-terminal domain	4
Rab geranylgeranyltransferase alpha-subunit, insert domain	4
29-kDa galactose-binding lectin	4
Phosphorylated E-cadherin	4
Ribosomal protein L35p	4
Rab-related protein Sec4	4
Replisome organizer (g39p helicase loader/inhibitor protein)	4
probable eukaryotic D-amino acid tRNA deacylase	4
Response regulator PleD, receiver domain	4
Caffeoyl-CoA O-methyltransferase	4
Putative transition state regulator ABH	4
Propionate catabolism operon regulatory protein PrpR	4
Proteasome activator protein PA26	4
cks1	4
CD80, second domain	4
CD80, N-terminal domain	4
apo-D-alanyl carrier protein	4
Bacterial glucoamylase, C-terminal domain	4
Bacterial glucoamylase, N-terminal domain	4
CD81 extracellular domain	4
beta-Agarase A	4
Saposin B	4
Basophilic leukemia expressed protein BLES03	4
Bcl-2 homolog V-bcl-2	4
BenF porin	4
CD3 delta chain ectodomain fragment	4
B4dimer	4
Proteasome regulatory particle base subunit Rpt1, C-terminal domain	4
Probable transcriptional regulator RHA1_ro04631	4
Proteasome regulatory subunit Rpn3, C-terminal domain	4
B- and T-lymphocyte attenuator CD272	4
Proteasome regulatory subunit Rpn9, N-terminal domain	4
Proteasome regulatory subunit Rpn9, C-terminal domain	4
B-Raf kinase	4
Sensor-type histidine kinase PrrB	4
Proteasome regulatory subunit Rpn3, N-terminal domain	4
Proteasome regulatory subunit Rpn12, N-terminal domain	4
Polyhomeotic	4
Proteasome regulatory subunit Rpn12, C-terminal domain	4
B. subtilis YhfP homologue	4
Proteasome regulatory subunit Rpn10	4
Poly(ADP-ribose) polymerase, C-terminal domain	4
Sensor protein PhyB2	4
Proteasome regulatory particle base subunit Rpt1, OB-fold domain	4
Beta-acrosin	4
Probable transcriptional regulator PA3067	4
Putative transcriptional repressor YbiH	4
Pre-mRNA splicing factor Cwc16 / Yju2	4
Bromelain inhibitor VI (cysteine protease inhibitor)	4
Butyryl-CoA dehydrogenase, C-domain	4
Butyryl-CoA dehydrogenase, NM domains	4
Sedlin (SEDL)	4
C-terminal (EC) domain of BM-40/SPARC/osteonectin	4
Pre-mRNA splicing factor Sart1 / Snu66	4
Pre-mRNA splicing factor Cwc2 / Cwf2 / Prp3, RRM domain	4
C-terminal domain of metazoan tyrosyl-tRNA synthetase, TyrRS	4
Pre-mRNA splicing factor Cwc2 / Cwf2 / Prp3, zinc finger domain	4
C-terminal UvrC-binding domain of UvrB	4
C-terminal activation domain (CTAD) of HIF-1alpha	4
Pre-mRNA splicing factor Isl1	4
Pre-mRNA splicing factor DEAH RNA helicase Prp43, N-terminal domain	4
Pre-mRNA splicing factor DEAH RNA helicase Prp43, C-terminal domain	4
Presequence protease 1, PREP1	4
Bombyxin-II	4
Beta-mannosidase	4
Probable enoyl-CoA hydratase TTHA0218	4
Beta-mannosidase, domains 2, 4 and 5	4
Probable regulatory protein EmbR, middle domain	4
Probable regulatory protein EmbR, C-terminal domain	4
Probable regulatory protein EmbR	4
Probable methylthioribose-1-phosphate isomerase TM0911	4
Probable glutaminase YbaS	4
Bifunctional dehydrogenase/ferrochelatase Met8p, N-terminal domain	4
Second Zn-domain of early E2A DNA-binding protein, ADDBP	4
Porin chaperone SurA, peptide-binding domain	4
Bifunctional dehydrogenase/ferrochelatase Met8p, dimerisation and C-terminal domains	4
SecG	4
Primosomal replication protein N, PriB	4
C-terminal fragment of elongation factor SelB	4
Primitive phytochelatin synthase	4
cytochrome b5 reductase	4
SREBP-1a	4
Protein SET	4
Cadmium-specific carbonic anhydrase CdCA1	4
Alpha-glucosidase AglA	4
Alpha-hemoglobin stabilizing protein AHSP	4
Alpha-tocopherol transfer protein	4
Plant annexin-like protein	4
Alphaherpesvirus glycoprotein E	4
Amide receptor/negative regulator of the amidase operon (AmiC)	4
Putative membrane antigen BipD	4
Putative phosphatase At1g05000	4
Putative mannosyl-3-phosphoglycerate phosphatase MPGP (YedP)	4
Putative isomerase YcgM	4
Putative ion channel CnbD	4
Plant non-specific lipid-transfer protein (ns-LTP, ns-LTP1)	4
AmpD protein	4
Putative formate dehydrogenase	4
Calbindin D9K	4
Putative regulator SCO4008	4
CMP kinase	4
Putative transcriptional regulator SCO0857	4
Putative transcriptional regulator YxaF	4
Putative transcriptional regulator YbbH	4
iota-carrageenase	4
Phytase (myo-inositol-hexakisphosphate-3-phosphohydrolase)	4
Putative transcriptional regulator SCO5951	4
Putative transcriptional regulator SCO4850	4
Putative transcriptional regulator RHA1_ro09068	4
htcf-4	4
importin-beta binding (IBB) domain of snurportin-1	4
Putative transcriptional regulator RHA1_ro03468	4
Alkyl hydroperoxide reductase subunit F (AhpF), N-terminal domain	4
Allantoate amidohydrolase AllC	4
Putative transcriptional regulator	4
Allantoate amidohydrolase AllC catalytic domain	4
Putative flagelar motor switch protein FliN	4
CTP synthase PyrG, N-terminal domain	4
Rous sarcoma virus protease	4
Pleiotropic regulator of virulence genes, SarA	4
Arsenite-translocating ATPase ArsA	4
Protoporphyrinogen oxidase	4
Asparagine synthetase	4
Asparagine synthetase B, C-terminal domain	4
Asparagine synthetase B, N-terminal domain	4
Aspartate racemase	4
SMAD4-binding domain of oncoprotein Ski	4
Anthocyanin acyltransferase	4
Astacin	4
dTDP-4-keto-6-deoxy-glucose-5-epimerase EvaD	4
alpha-Trichosanthin	4
Auracyanin	4
Pneumococcal histidine triad protein A, PhtA	4
Protein YxeP	4
SFV capsid	4
Pseudopilin GspK	4
Pullulanase PulA	4
Purine repressor (PurR), C-terminal domain	4
S1-domain of Ribonuclease E	4
Archaeal alanine dehydrogenase	4
Putative acetamidase TM0119	4
S-adenosylmethionine decarboxylase (SamDC, SpeH)	4
Putative acetyltransferase EF0945	4
Antitermination factor NusB	4
Rubrerythrin, N-terminal domain	4
Rubrerythrin, C-terminal domain	4
Antigen 85c	4
Plasmid maintenance system epsilon/zeta, antidote epsilon subunit	4
Antigen 85a	4
Antifreeze polypeptide HPLC-6	4
Anti-platelet protein	4
Transcriptional activator sigm54 (NtrC1), N-terminal domain	4
RhoB	4
Flavoprotein domain of flavocytochrome cellobiose dehydrogenase (CDH), FAD-binding domain	4
Dipeptidyl aminopeptidase-like protein 6, DPP6, C-terminal domain	4
Unsaturated glucuronyl hydrolase	4
Ferric reductase	4
Myotubularin-related protein 2, C-terminal domain	4
Myotubularin-related protein 2, N-terminal domain	4
Heat shock protein 33, Hsp33	4
GDP-mannose-3', 5'-epimerase	4
Integrin beta-3	4
N-acetylglucosamine 1-phosphate uridyltransferase GlmU, C-terminal domain	4
N-acetylglucosamine 1-phosphate uridyltransferase GlmU, N-terminal domain	4
Integrin beta tail domain	4
EIAV capsid protein p26	4
E7 oncoprotein	4
N-cadherin (neural)	4
Dynamin	4
Streptococcal superantigen Smez-2	4
Domain of poly(ADP-ribose) polymerase	4
Integrin beta EGF-like domains	4
Domain of early E2A DNA-binding protein, ADDBP	4
Streptococcal superantigen SSA	4
N-terminal domain of adenylylcyclase associated protein, CAP	4
Distinctin chain B	4
N-terminal domain of sialoadhesin	4
Stem cell growth factor R-spondin-1 (Rspo1) Furin (Fu1Fu2) domain	4
ETS-1 transcription factor, residues 331-440	4
Unnamed protein	4
Haemadin	4
H1 protein (H-NS)	4
Structure-specific tRNA-binding protein TRBP111	4
Guanine deaminase GuaD	4
Mov34	4
Guanine nucleotide dissociation inhibitor, GDI	4
Fe-only hydrogenase larger subunit, N-domain	4
Elongation factor G (EF-G), domain IV	4
Elongation factor G (EF-G), domain II	4
Elongation factor G (EF-G), N-terminal (G) domain	4
Intimin	4
Elongation factor G (EF-G)	4
Tyrosine kinase Fyn	4
Uncharacterized protein BH3703	4
HL collagenase	4
TRAPPC5, similar to trafficking protein particle complex 5	4
TRBP111 homolog CsaA	4
Feline immunodeficiency virus (FIV) protease	4
HRV16 complexed with d1d2-ICAM-1	4
Myod B/HLH domain	4
HSP33, C-terminal domain	4
Ebulin A-chain	4
Myosin Light Chain Mlc1p	4
Type-1 interleukin-1 receptor	4
Dipeptidyl aminopeptidase-like protein 6, DPP6, N-terminal domain	4
Integration host factor alpha subunit (IHFA)	4
Neutrophil cytosol factor 2 (p67phox component of NADPH oxidase)	4
Uncharacterized protein Ava4193	4
MCM1 transcriptional regulator	4
Lipopolysaccharide-responsive and beige-like anchor protein LRBA	4
NSP4 oligomerization domain	4
Indole-3-glycerophosphate synthase, IPGS	4
High affinity nerve growth factor receptor, N-terminal domain	4
Uncharacterized protein Ava3019	4
Hirustasin	4
Histamine binding protein	4
Histidine triad protein Mfla2506	4
DNA-binding domain from NDT80	4
DNA topoisomerase I, 67K N-terminal domain	4
Histidine-containing phosphotransfer protein HP1	4
DNA processing protein A (DprA)	4
DNA primase large subunit PriB, N-terminal domain	4
Neurogenic locus notch receptor domain	4
DNA polymerase beta, N-terminal (8 kD)-domain	4
Histidine-containing phosphotransfer protein HP2	4
Major mite fecal allergen der p 1	4
Neuronal nitric-oxide synthase FAD/NADP+ domain	4
DNA polymerase IV	4
Neutral endopeptidase (neprilysin)	4
Long-chain fatty acid transport protein FadL	4
Homer	4
DOPA decarboxylase	4
Tegument protein M48; N-terminal domain	4
Five-domain beta-mannosidase, domain 3	4
Diamine acetyltransferase 2	4
Dimethylsulfoxide reductase (DMSO reductase)	4
Dimethylarginine dimethylaminohydrolase DDAH	4
Tabtoxin resistance protein	4
Dimeric nicotinate phosphoribosyltransferase N-terminal domain	4
Dim-5	4
Heme-based aerotactic transducer HemAT, sensor domain	4
Dihydroxyacetone kinase	4
Dihydropyrimidinase related protein-1	4
Star-related lipid transfer protein 13	4
Hemolysin-corregulated protein 1, Hcp1	4
Heparan sulfate 3-O-sulfotransferase	4
Type II Proline 3-hydroxylase (proline oxidase)	4
Heparan sulfate glucosamine 3-O-sulfotransferase 3	4
Lipase L1	4
Designed sequence 'Alpha 1'	4
Designed heterodimeric leucine zipper	4
Deoxynucleoside monophosphate kinase	4
First Zn-domain of early E2A DNA-binding protein, ADDBP	4
NADH-ubiquinone oxidoreductase B14	4
NADH-ubiquinone oxidoreductase B22	4
Hepatocyte growth factor, HGF	4
Influenza virus matrix protein M1	4
Invasin IpaD	4
Inward rectifier potassium channel Kirbac1.1	4
Guanine deaminase	4
Guanine PRTase	4
Exocytosis-sensitive phosphoprotein, pp63/parafusin, N-terminal domain	4
Exocytosis-sensitive phosphoprotein, pp63/parafusin	4
Sulfate/molybdate ABC transporter, permease protein	4
Sulfate/molybdate ABC transporter, ATP-binding protein	4
Methionyl-tRNAfmet formyltransferase	4
Methionyl-tRNAfmet formyltransferase, C-terminal domain	4
Gastric lipase	4
Sugar phosphatase SupH (YbiV)	4
Large chain TOA1, N-terminal domain	4
Gastrodianin (antifungal protein)	4
Lactose permease	4
Gelatinase A (MMP-2), C-terminal domain	4
Ubiquitin carboxyl-terminal hydrolase 5, UBP5	4
Germinal-centre associated nuclear protein (GANP)	4
UPF0237 protein SP0238	4
GMP synthase subunit A, GuaAA	4
Eukaryotic mono-ADP-ribosyltransferase ART2.2	4
Farnesyl diphosphate synthase (geranyltranstransferase)	4
Eukaryotic glutathione synthetase, substrate-binding domain	4
Eukaryotic glutathione synthetase ATP-binding domain	4
UDP-glucose pyrophosphorylase 2 (UDPGP 2)	4
Glucoamylase, granular starch-binding domain	4
Glucokinase Glk, C-terminal domain	4
Exocytosis-sensitive phosphoprotein, pp63/parafusin, middle and C-terminal domain	4
Gar1 homolog PF1791	4
GTPase-binding domain of the cell polarity protein par6 (Par-6B)	4
Sulfite reductase NirA, N-terminal domain	4
F-actin cross-linking gelation factor (ABP-120) repeats	4
F factor TraI relaxase	4
Gal4	4
Lethal(3)malignant brain tumor-like protein	4
Extracellular hemoglobin linker l3	4
Lem10 effector	4
Leghemoglobin	4
Mechanotransduction channel NOMPC	4
F-box/WD-repeat protein 1 (beta-TRCP1)	4
Exosome component 1, EXOSC1	4
F420-0:gamma-glutamyl ligase CofE	4
Gamma1-adaptin domain	4
Sulfite reductase NirA, C-terminal domain	4
Sulfite reductase NirA	4
Lectin TC14	4
Superantigen-like protein SET3	4
Menin C-terminal domain	4
Gamma-lactamase	4
Mannitol 2-dehydrogenase	4
Sulfiredoxin	4
Exodeoxyribonuclease V gamma chain (RecC), N-terminal domain	4
Exodeoxyribonuclease V beta chain (RecC), C-terminal domain	4
Glucokinase Glk, N-terminal domain	4
Estrogen receptor DNA-binding domain	4
Microbial transglutaminase	4
Glycine cleavage system T protein, GcvT	4
Endostatin	4
Endophilin-1	4
Glycerol dehydratase reactivase, beta subunit	4
Glycerol uptake operon antiterminator-related protein TM1436	4
Glycerol-3- phosphate dehydrogenase	4
Endoglucanase Cel5a	4
Mn transporter MntC	4
KSHV protease	4
Glycerol-3-phosphate dehydrogenase	4
Glycerophosphodiester phosphodiesterase UgpQ	4
Iron-sulfur subunit of formate dehydrogenase N, transmembrane anchor	4
Endothelin-1	4
Moesin tail domain	4
Endocellulase E1	4
Fe-only hydrogenase larger subunit, C-domain	4
Granzyme B	4
Gro beta	4
TNV coat protein	4
Mammalian cytochrome p450 2c8	4
Molybdopterin-guanine dinucleotide biosynthesis protein MobB	4
Ena/vasp-like protein	4
Grp1	4
TFIIH basal transcription factor complex p62 subunit (BTF2-p62), N-terminal domain	4
Kanamycin nucleotidyltransferase (KNTase), C-terminal domain	4
Glucose oxidase	4
Kinesin heavy chain-like protein	4
Esterase EstB	4
Glucose transport protein GlcV, N-terminal domain	4
Erythropoietin	4
Erythronolide synthase	4
L,D-transpeptidase, pre-catalytic domain	4
Glutaconate:CoA transferase beta	4
Glutamate receptor-interacting protein 1, GRIP1	4
Kinetochore protein Spc24	4
Erabutoxin B (also neurotoxin B)	4
Glutamine aminotransferase	4
Uncharacterized protein SAV1155	4
Kanamycin nucleotidyltransferase (KNTase), N-terminal domain	4
Uncharacterized protein SAV4671	4
TDP-epi-vancosaminyltransferase GtfA	4
Killer cell inhibitory receptor	4
Kid toxin protein (ParD)	4
Ketopantoate reductase PanE	4
Syndecan-4 cytoplasmic domain	4
Glutathione peroxidase	4
Mitochondrial import inner membrane translocase subunit Tim9	4
Ligand binding domain of trkB receptor	4
Glycerol dehydratase DhaB1	4
Leucine-binding protein	4
Lymphocyte kinase (lck)	4
Homoserine kinase ThrH	4
Hypothetical protein HI0074	4
Hypothetical protein TM1457	4
Coenzyme F420H2:NADP+ oxidoreductase (FNO)	4
Paramyxovirus sv5 fusion protein core	4
Parathyroid hormone fragments (residues between 1 and 39)	4
Cobalamin biosynthesis protein G, CbiG	4
Hypothetical protein CPS2611	4
Coagulation factor XIV (Protein C)	4
Trigger factor PPIase domain	4
Hypothetical protein DR1025	4
Pectate lyase	4
Xaa-Pro dipeptidase	4
ClpB, AAA+ modules, N-terminal domain	4
ClpB, AAA+ modules, C-terminal domain	4
Flt3 ligand	4
Hypothetical protein TM0693	4
Claudin-19	4
Hypothetical protein TM0312	4
Peptide methionine sulfoxide reductase	4
Cj1564	4
Citrobacter dihydroxyacetone kinase extra ATP-binding domain	4
Peptidoglycan biosynthesis glycosyltransferase MurG	4
Tissue factor pathway inhibitor	4
Hypothetical protein TM0160	4
PapE pilus subunit	4
Trigger factor, C-terminal domain	4
Hypothetical protein Bll6730	4
Hypothetical protein TT1808 (TTHA1514)	4
PA C-terminal domain	4
Hypothetical protein BC2969	4
TrmE formyl-THF-binding domain	4
Hypothetical protein TTHA0967	4
Hypothetical protein BH0236	4
Hypothetical protein BH2331	4
PAP1	4
Formaldehyde dehydrogenase	4
PB1 fragment	4
Hypothetical protein BH3568	4
Threonyl-tRNA synthetase (ThrRS), N-terminal 'additional' domain	4
Thrombospondin 1 N-terminal domain	4
PC4 and SFRS1-interacting protein, PSIP1	4
Small t antigen, ST-AG	4
PPR1	4
Small nuclear ribonucleoprotein E	4
PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL	4
Threonyl-tRNA synthetase (ThrRS), second 'additional' domain	4
Pancreatic spasmolytic polypeptide	4
Pantothenate kinase 1, PANK1, C-terminal domain	4
Pantothenate kinase 1, PANK1, N-terminal domain	4
Thrombomodulin, different EGF-like domains	4
Titin	4
MMLV reverse transcriptase	4
Ig alpha Fc receptor, FCARI (CD89)	4
Sin3A	4
Transcriptional regulator ZntR	4
Cg2944-PF (gus)	4
Hypothetical protein RBSTP2199	4
Hypothetical protein PTD015 (C11orf67)	4
Trans-activator protein BZLF1	4
Hypothetical protein PMN2A_0962	4
Hypothetical protein PH1948	4
Transcription factor 1, TF1	4
Phenylalanine dehydrogenase	4
Hypothetical protein PH0006	4
Transcriptional regulator EF0787	4
Cellusomal scaffolding protein A, scaffoldin	4
Transcriptional regulator Cgl0157/Cg0196	4
Transcription factor inhibitor I-kappa-B-beta, IKBB	4
Transcriptional regulator BC5000	4
Transcription-repair coupling factor TRCF, domain 1	4
Phosducin	4
Phoshatidylinositol transfer protein, PITP	4
Hypothetical protein PA2721	4
Sigma factor SigA	4
Transcriptional activator DhaS	4
Hypothetical protein PA3566	4
Sialic acid-binding protein SiaP	4
Transcriptional regulatory protein PrrA	4
Transcriptional regulatory protein PrrA, N-terminal domain	4
Hypothetical protein MPN423	4
Chorismate mutase domain of P-protein	4
Peptidyl-prolyl cis-trans isomerase FkpA	4
Hypothetical protein SPy1201	4
Transferrin	4
Hypothetical protein IsdG	4
Hypothetical protein SP0830	4
Peptidylglycine alpha-hydroxylating monooxygenase, PHM	4
Peptidylprolyl isomerase domain and WD repeat-containing protein 1, PPWD1, C-terminal domain	4
Cinnamyl alcohol dehydrogenase, ADH6	4
Periplasmic chaperone SafB	4
Simian immunodeficiency virus (SIV) protease	4
Cholesterol oxidase	4
Hypothetical protein Rv2626c	4
Hypothetical protein SO3848	4
Chloroplast protein translocon GTPase Toc34	4
Hypothetical protein SA2394	4
Chloride intracellular channel 1 (clic1)	4
Flavoprotein domain of flavocytochrome cellobiose dehydrogenase (CDH), substrate-binding domain	4
Chitin-binding protein CBP21	4
MJ0490, lactate/malate dehydrogenase	4
Chemotaxis protein CheX	4
Chemoreceptor glutamine deamidase CheD	4
Charybdotoxin	4
Hypothetical protein Ta0289	4
Surface layer protein	4
Thiopurine S-methyltransferase	4
Hypothetical protein AF1503	4
Vacuolar protein sorting-associated protein vps9	4
Tumor necrosis factor receptor superfamily member 13B, TACI	4
Cytoplasmic domain of p23	4
Hypothetical protein YybH	4
LysR-type regulatory protein DntR	4
Hypothetical protein YvfG	4
Hypothetical protein YqgQ	4
Spliceosomal 15.5kd protein	4
Vacuolar sorting protein SNF8	4
Cytomegalovirus protein US2	4
Spermidine/putrescine-binding protein PotD	4
Hypothetical protein YqgF (RuvX)	4
Soybean trypsin inhibitor	4
Hypothetical protein AF0160	4
Hypothetical protein YopX	4
Cytochrome c''	4
Hypothetical protein YodA	4
Cytochrome O ubiquinol oxidase, subunit III	4
Nucleoside triphosphate pyrophosphorylase (MutT)	4
Thermolysin	4
Cysteinyl-tRNA synthetase (CysRS)	4
Hypothetical protein YkuI, N-terminal domain	4
Hypothetical protein YkuI, C-terminal domain	4
